fid,TreeID,Family,Genus,species,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"112","142399",Sapotaceae,Pouteria,jariensis,285453.670108,581570.65805,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"113","142399",Sapotaceae,Pouteria,jariensis,285453.670108,581570.65805,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"114","142401",Urticaceae,Pourouma,mollis,285452.42968595,581571.6491,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"115","142402",Peraceae,Pogonophora,schomburgkiana,285452.739191925,581570.27655,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"116","142403",Peraceae,Pogonophora,schomburgkiana,285452.701132,581570.056,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"117","142404",Myristicaceae,Iryanthera,sagotiana,285455.163746,581567.4408,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"118","142406",Anacardiaceae,Thyrsodium,puberulum,285452.590323575,581567.30305,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"119","142579",Annonaceae,Fusaea,longifolia,285455.6693076,581569.57885,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"120","142580",Clusiaceae,Symphonia,"sp,1",285456.0913184,581569.9136,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"121","142581",Annonaceae,Duguetia,calycina,285458.3950052,581570.5988,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"122","142583",Peraceae,Pogonophora,schomburgkiana,285456.386733075,581571.36145,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"123","142584",Clusiaceae,Symphonia,"sp,1",285456.45376,581571.486,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"124","142585",Melastomataceae,Mouriri,crassifolia,285454.981672825,581573.24505,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"125","142598",Chrysobalanaceae,Leptobalanus,sprucei,285459.4856844,581573.2247,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"126","142608",Polygonaceae,Coccoloba,mollis,285460.826883125,581569.12525,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"127","142610",Clusiaceae,Garcinia,benthamiana,285461.046188,581570.132,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"128","142611",Chrysobalanaceae,Couepia,guianensis,285460.845104525,581569.75835,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
