TreeID,Family,Genus,species,DBH,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"140624",Bignoniaceae,Jacaranda,copaia,11.4,285416.3198066,581560.2812,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140626",Lecythidaceae,Gustavia,hexapetala,2,285418.527542675,581560.93785,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140627",Ochnaceae,Lacunaria,jenmanii,1.5,285418.681512,581560.7744,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140628",Melastomataceae,Henriettea,flavescens,1,285417.94065315,581561.49565,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140629",Rubiaceae,Palicourea,quadrifolia,2.2,285417.7467352,581562.4842,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140630",Chrysobalanaceae,Hymenopus,heteromorphus,1.1,285417.0078081,581562.1598,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140632",Lecythidaceae,Lecythis,persistens,8.7,285415.3810937,581564.0823,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140633",Annonaceae,Oxandra,asbeckii,1.9,285415.9209794,581562.9874,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140634",Sapotaceae,Pouteria,guianensis,1.2,285415.8810265,581563.8125,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140635",Melastomataceae,Henriettea,flavescens,1.8,285416.67794685,581563.9449,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140637",Vochysiaceae,Ruizterania,albiflora,1.6,285417.9348516,581564.6326,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140638",Annonaceae,Anaxagorea,dolichocarpa,2.1,285417.2899728,581565.3824,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140639",Fabaceae,Inga,loubryana,2.2,285417.2899728,581565.3824,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140640",Lecythidaceae,Gustavia,hexapetala,1.7,285418.03986435,581564.9777,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140641",Fabaceae,Tachigali,melinonii,1,285422.1004952,581566.0808,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140642",Sapindaceae,Talisia,furfuracea,2.6,285419.6736347,581564.4174,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140643",Fabaceae,Inga,rubiginosa,3,285419.9525825,581564.1865,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140644",Myristicaceae,Iryanthera,sagotiana,2.5,285420.3365447,581564.3007,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140645",Sapindaceae,Talisia,praealta,1.9,285421.3686842,581567.1186,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140645",Sapindaceae,Talisia,praealta,1,285421.3686842,581567.1186,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140646",Chrysobalanaceae,Licania,membranacea,1.7,285423.8644853,581567.8609,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140647",Meliaceae,Guarea,pubescens,2.2,285423.20533995,581565.8863,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140648",Malvaceae,Catostemma,fragrans,1.4,285424.279313475,581566.83345,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140649",Myristicaceae,Iryanthera,sagotiana,2.3,285423.3502702,581565.4063,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140650",Annonaceae,Anaxagorea,dolichocarpa,2,285421.0664544,581564.30855,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140651",Fabaceae,Swartzia,guianensis,4.4,285420.2985312,581564.08015,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140652",Myristicaceae,Iryanthera,hostmannii,1,285420.577477125,581563.84925,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140653",Myristicaceae,Iryanthera,hostmannii,2.7,285420.577477125,581563.84925,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140654",Myristicaceae,Iryanthera,hostmannii,1.1,285420.03954875,581563.8985,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140655",Chrysobalanaceae,Licania,membranacea,1.3,285420.97237505,581563.23435,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140656",Clusiaceae,Symphonia,"sp,1",7.7,285423.34312995,581564.0441,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140657",Annonaceae,Oxandra,asbeckii,0.9,285422.854152,581563.5848,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140658",Violaceae,Leonia,glycycarpa,1.1,285422.74913385,581563.2397,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140659",Euphorbiaceae,Mabea,piriri,8,285422.74913385,581563.2397,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140660",Chrysobalanaceae,Hymenopus,heteromorphus,1.4,285424.8319126,581563.9638,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140661",Apocynaceae,Aspidosperma,excelsum,2.2,285422.98102945,581562.4717,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140662",Annonaceae,Anaxagorea,dolichocarpa,3.5,285424.0858472,581562.2772,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140663",Fabaceae,Inga,sarmentosa,1.9,285424.201792,581561.8932,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140664",Myristicaceae,Virola,michelii,2.4,285425.009606,581561.2965,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140665",Annonaceae,Anaxagorea,dolichocarpa,1.2,285425.384524775,581561.09415,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140666",Annonaceae,Anaxagorea,dolichocarpa,2.3,285425.388321225,581559.00285,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140667",Sapindaceae,Talisia,megaphylla,2.8,285424.544411375,581558.33335,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140668",Lecythidaceae,Eschweilera,pedicellata,4.5,285423.4956795,581559.3815,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140669",Annonaceae,Anaxagorea,dolichocarpa,5.4,285422.47976275,581558.24235,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140670",Clusiaceae,Garcinia,benthamiana,2.5,285421.7279903,581559.6927,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140671",Annonaceae,Anaxagorea,dolichocarpa,2.2,285421.429083675,581560.33615,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140672",Peraceae,Pogonophora,schomburgkiana,1.2,285421.7260689,581560.73835,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140673",Malvaceae,Sterculia,multiovula,4.9,285421.349221975,581561.98635,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140674",Fabaceae,Tachigali,melinonii,2.7,285421.44521065,581562.0149,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140677",Myristicaceae,Iryanthera,sagotiana,1.4,285420.8113014,581562.0356,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140678",Annonaceae,Unonopsis,rufescens,1.3,285420.7243356,581562.3236,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140679",Myristicaceae,Virola,michelii,2.6,285420.7243356,581562.3236,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140680",Fabaceae,Dicorynia,guianensis,1.4,285419.527369875,581560.39825,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140681",Sapindaceae,Talisia,sylvatica,3.3,285420.326194,581559.485,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140682",Myristicaceae,Virola,michelii,3.2,285420.0382327,581559.39935,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140683",Fabaceae,Tachigali,melinonii,1.6,285419.6922915,581559.5057,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140684",Sapindaceae,Cupania,rubiginosa,3.2,285420.991015875,581558.32265,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140685",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",4.3,285421.62684285,581557.2563,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140687",Fabaceae,Dicorynia,guianensis,18.14366351,285416.48671,581558.343,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
