X,Y,Z,Period 1,Xutm,Yutm,Zalt
38,14,13.7425003051758,0.00818948472793707,285559.150878323,581528.950215291,13.7425003051758
38,16,13.3875007629395,0.0242543468474609,285558.572829397,581530.864858714,13.3875007629395
38,18,13.1399993896484,0.0384120611938827,285557.994780471,581532.779502138,13.1399993896484
38,20,12.8375015258789,0.0128895000544841,285557.416731545,581534.694145561,12.8375015258789
38,22,12.5750007629395,0.00956480260927427,285556.838682619,581536.608788985,12.5750007629395
38,24,12.1699981689453,0.00419107621404156,285556.260633692,581538.523432408,12.1699981689453
38,26,11.9300003051758,0.00327866214248983,285555.682584766,581540.438075832,11.9300003051758
38,28,11.75,0.0120477421106126,285555.10453584,581542.352719255,11.75
38,30,11.3775024414063,0.0157881349378157,285554.526486914,581544.267362679,11.3775024414063
38,32,11.1500015258789,0.0073321064878229,285553.948437988,581546.182006102,11.1500015258789
38,34,10.7849998474121,0.0100874153405899,285553.370389062,581548.096649525,10.7849998474121
38,36,10.622501373291,0.0116792235179161,285552.792340136,581550.011292949,10.622501373291
38,38,10.4575004577637,0.0109711438220904,285552.21429121,581551.925936372,10.4575004577637
38,40,10.1925010681152,0.0162047429275583,285551.636242284,581553.840579796,10.1925010681152
38,42,9.97000122070312,0.00724109814393468,285551.058193358,581555.755223219,9.97000122070312
38,44,9.63249969482422,0.00494824804049867,285550.480144432,581557.669866643,9.63249969482422
38,46,9.46250152587891,0.00361357262471075,285549.902095506,581559.584510066,9.46250152587891
38,48,9.33750152587891,0.00217474882264152,285549.32404658,581561.49915349,9.33750152587891
38,50,9.18249893188477,0.00529909740543526,285548.745997654,581563.413796913,9.18249893188477
38,52,9.00749969482422,0.00621581944512603,285548.167948728,581565.328440337,9.00749969482422
38,54,8.98749923706055,0.00746455252965133,285547.589899802,581567.24308376,8.98749923706055
38,56,9.04249954223633,0.00444843704813496,285547.011850876,581569.157727184,9.04249954223633
38,58,9.11499786376953,0.00489646949854182,285546.433801949,581571.072370607,9.11499786376953
38,60,8.96250152587891,0.00677211210491533,285545.855753023,581572.987014031,8.96250152587891
38,62,8.90499877929688,0.00280168284162835,285545.277704097,581574.901657454,8.90499877929688
38,64,8.82500076293945,0.0094447421139386,285544.699655171,581576.816300878,8.82500076293945
38,66,8.65750122070313,0.00573938000714524,285544.121606245,581578.730944301,8.65750122070313
38,68,8.96250152587891,0.00580176184131438,285543.543557319,581580.645587725,8.96250152587891
38,70,9.08250045776367,0.00325172510550672,285542.965508393,581582.560231148,9.08250045776367
38,72,9.24750137329102,0.00216288714470178,285542.387459467,581584.474874572,9.24750137329102
38,74,9.26499938964844,0.0107171563056749,285541.809410541,581586.389517995,9.26499938964844
38,76,9.39749908447266,0.00460925992541963,285541.231361615,581588.304161419,9.39749908447266
38,78,9.43999862670898,0.00748266742765282,285540.653312689,581590.218804842,9.43999862670898
38,80,9.63500213623047,0.0110863567199586,285540.075263763,581592.133448265,9.63500213623047
38,82,9.81999969482422,0.0111915882966094,285539.497214837,581594.048091689,9.81999969482422
38,84,9.91749954223633,0.013871631415893,285538.919165911,581595.962735112,9.91749954223633
38,86,10.0774993896484,0.0166396878871288,285538.341116985,581597.877378536,10.0774993896484
38,88,10.2700004577637,0.026690184865032,285537.763068059,581599.792021959,10.2700004577637
40,-88,17.9625015258789,0.0214378906467007,285590.546016975,581431.881449619,17.9625015258789
40,-86,18.2750015258789,0.020815682545812,285589.967968049,581433.796093043,18.2750015258789
40,-84,18.7425003051758,0.00890112677242046,285589.389919123,581435.710736466,18.7425003051758
40,-82,19.0400009155273,0.0137365283887396,285588.811870197,581437.62537989,19.0400009155273
40,-80,19.4925003051758,0.0173053394805355,285588.233821271,581439.540023313,19.4925003051758
40,-78,19.7125015258789,0.0121406268427493,285587.655772345,581441.454666737,19.7125015258789
40,-76,19.9150009155273,0.00394820343605737,285587.077723419,581443.36931016,19.9150009155273
40,-74,20.3300018310547,0.0052318147197447,285586.499674493,581445.283953584,20.3300018310547
40,-72,20.629997253418,0.00374401997416336,285585.921625567,581447.198597007,20.629997253418
40,-70,20.7675018310547,0.00381739196324855,285585.343576641,581449.11324043,20.7675018310547
40,-68,20.9300003051758,0.0123411535098051,285584.765527715,581451.027883854,20.9300003051758
40,-66,21.2150001525879,0.0203661257545004,285584.187478789,581452.942527278,21.2150001525879
40,-64,21.4099998474121,0.00534925978493029,285583.609429863,581454.857170701,21.4099998474121
40,-62,21.5924987792969,0.00399295691960058,285583.031380937,581456.771814124,21.5924987792969
40,-60,21.7924995422363,0.00439691735458637,285582.453332011,581458.686457548,21.7924995422363
40,-58,21.8899993896484,0.00170153357729804,285581.875283085,581460.601100971,21.8899993896484
40,-56,21.9850006103516,0.0061264109911441,285581.297234159,581462.515744395,21.9850006103516
40,-54,22.0725021362305,0.00621461839819764,285580.719185232,581464.430387818,22.0725021362305
40,-52,22.0699996948242,0.00727364272305206,285580.141136306,581466.345031242,22.0699996948242
40,-50,22.0924987792969,0.00478787465254141,285579.56308738,581468.259674665,22.0924987792969
40,-48,22.0149993896484,0.00273023250214193,285578.985038454,581470.174318089,22.0149993896484
40,-46,22.1500015258789,0.0038238037713126,285578.406989528,581472.088961512,22.1500015258789
40,-44,22.0950012207031,0.0038442883055262,285577.828940602,581474.003604936,22.0950012207031
40,-42,21.9799995422363,0.00149555951669071,285577.250891676,581475.918248359,21.9799995422363
40,-40,21.7849998474121,0.0025040485427904,285576.67284275,581477.832891783,21.7849998474121
40,-38,21.6875,0.00266255540446976,285576.094793824,581479.747535206,21.6875
40,-36,21.4449996948242,0.00323893358505073,285575.516744898,581481.66217863,21.4449996948242
40,-34,21.2024993896484,0.00288486128853865,285574.938695972,581483.576822053,21.2024993896484
40,-32,21.0299987792969,0.00325393015126446,285574.360647046,581485.491465477,21.0299987792969
40,-30,20.8899993896484,0.005512396527683,285573.78259812,581487.4061089,20.8899993896484
40,-28,20.5849990844727,0.00463548319975952,285573.204549194,581489.320752324,20.5849990844727
40,-26,20.3450012207031,0.00241064266685437,285572.626500268,581491.235395747,20.3450012207031
40,-24,19.8950004577637,0.0101037480121495,285572.048451342,581493.150039171,19.8950004577637
40,-22,19.7200012207031,0.00517334846957376,285571.470402415,581495.064682594,19.7200012207031
40,-20,19.504997253418,0.00467648598508911,285570.892353489,581496.979326017,19.504997253418
40,-18,19.1025009155273,0.0259133687823306,285570.314304563,581498.893969441,19.1025009155273
40,-16,18.7724990844727,0.0106352681053402,285569.736255637,581500.808612864,18.7724990844727
40,-14,18.3649978637695,0.0163020204673442,285569.158206711,581502.723256288,18.3649978637695
40,-12,17.997501373291,0.0214127117657515,285568.580157785,581504.637899711,17.997501373291
40,-10,17.7624969482422,0.0129433198760229,285568.002108859,581506.552543135,17.7624969482422
40,-8,17.3349990844727,0.0110991356032994,285567.424059933,581508.467186558,17.3349990844727
40,-6,17.1399993896484,0.0105061944031501,285566.846011007,581510.381829982,17.1399993896484
40,-4,16.7550010681152,0.00914573855646082,285566.267962081,581512.296473405,16.7550010681152
40,-2,16.375,0.0209797461520606,285565.689913155,581514.211116829,16.375
40,0,16.1975021362305,0.0035646402922958,285565.111864229,581516.125760252,16.1975021362305
40,2,15.6849975585938,0.00578961757621465,285564.533815303,581518.040403676,15.6849975585938
40,4,15.4625015258789,0.00280080052923934,285563.955766377,581519.955047099,15.4625015258789
40,6,15.0524978637695,0.00955860923888192,285563.377717451,581521.869690523,15.0524978637695
40,8,14.6599998474121,0.00552871931639594,285562.799668524,581523.784333946,14.6599998474121
